Question,Expected Answer,Actual Answer ,Accuracy,Speed,Screenshot
What is the maximum policy limit for coverage under this plan?,"The maximum policy limit per member is £1,500,000, $2,400,000, or €1,900,000, depending on the currency selected by the member .","The maximum policy limit for coverage under this plan varies depending on the benefit. For example, the maximum policy limit for external prosthesis is up to £5,000, for ambulance transport it is within the overall policy limit, for kidney dialysis it is £25,000 per year, for eye test it is paid in full for one test per year, for prescription glasses and contact lenses it is £100 per year, for accidental damage to teeth it is £10,000 per year, and for dental treatment it is up to £320 per year.",0,2.2,
Can I receive emergency medical treatment in the USA if I don't have USA cover included in my policy?,"Yes, you are covered for emergency treatment in the USA up to a limit of £15,000, $24,000, or €19,125 for a period of up to six weeks, provided that you do not have USA cover added to your policy .","Yes, you can receive emergency in-patient and day-patient treatment in the USA if you have worldwide cover excluding the USA. However, there is no cover for out-patient treatment in the USA if you do not have USA cover included in your policy.",1,2.4,
Are there any provisions for cancer treatment within the plan?,"Yes, the plan covers cancer treatment, including radiotherapy, chemotherapy, and surgery necessary to relieve pain or symptoms. However, end-of-life care is not covered under the plan .","Yes, there are provisions for cancer treatment within the plan.",1,2.8,
What is the overall annual limit for Plan 1 under the International Exclusive policy?,"The overall annual limit for Plan 1 is up to RM9,000,000 .","The overall annual limit for Plan 1 under the International Exclusive policy is up to RM9,000,000.",1,2.6,
"Is psychiatric treatment covered under the International Exclusive plans, and if so, what are the limits?","Yes, psychiatric treatment is covered with a limit up to RM24,000 under the first two plans, but there is no coverage under Plan 4 .","Psychiatric treatment is covered under the International Exclusive plans. However, the specific limits for psychiatric treatment are not provided in the given data. For detailed information on coverage limits for psychiatric treatment, please refer to the policy contract for the full terms and conditions under the International Exclusive plans.",0,2.8,
What benefits are provided for pregnancy and delivery under the International Exclusive plans?,"Pregnancy and delivery are covered up to RM43,000 under Plan 1, but only after 12 months of consecutive membership. No benefits are provided under the other plans for pregnancy and delivery .","Comprehensive pregnancy and delivery benefits are provided under the International Exclusive plans. After 12 months of consecutive membership, Plan 1 includes a pregnancy and delivery benefit. Unexpected medical complications that occur during the pregnancy are covered under most of the plans after the waiting period.",1,2.3,
What are the main benefits included in the International Private Medical Insurance?,"The International Private Medical Insurance offers various benefits including in-patient and day-patient treatments, surgical outpatient treatments, cancer treatment, access to healthcare experts, and emergency evacuation and repatriation. Customers can also choose from additional options like specialist consultations, outpatient therapies, mental health treatments, and covers for pregnancy, dental, optical, and travel insurance .","The main benefits included in the International Private Medical Insurance are in-patient cover, out-patient cover, coverage for pre-existing conditions, coverage for long-term illnesses, dental benefits, coverage for children, freedom to choose where to get treatment, and access to direct billing facilities within the international directory of hospitals within the chosen area of cover.",1,2.2,
Who is eligible to purchase the International Private Medical Insurance?,"The insurance is designed for individuals aged 18 to 80, including expatriates who live outside their home country and high-net-worth individuals who may need access to medical treatment worldwide. It is suitable for those who have the financial resources to invest in international private healthcare and are interested in flexible medical treatment options either locally, internationally, or in their home country .","Individuals seeking international private healthcare cover to meet their health and wellbeing needs, goals, and budget are eligible to purchase the International Private Medical Insurance.",0,1.7,
"If I drink alchohol while pregnant am I still covered under plan 2?","No, there is no coverage for alcohol consumption during pregnancy under Plan 2. However, medical conditions related to pregnancy and childbirth are covered up to the limits that apply in the rest of the policy.","No. Drinking alcohol while pregnant is considered substance abuse, and any treatment arising from or connected with alcohol or drug abuse is not covered under plan 2.",1,2.4,
"Can I purchase this insurance without receiving advice, and how can I buy it?","Yes, you can purchase International Private Medical Insurance without receiving advice, in compliance with FCA regulations. It is available for purchase directly from AXA – Global Healthcare or through a private health insurance specialist intermediary. You can buy the insurance via telephone, face-to-face, or through an appropriately designed online journey .","You cannot purchase this insurance without receiving advice. To buy the insurance, you can get in touch with us by visiting your account at axaglobalhealthcare.com/customer or by calling us on +44 (0)1892 503 856.",0,3.8,
