Question,Expected Answer,Actual Answer ,Accuracy,Speed,Screenshot
What is the maximum policy limit for coverage under this plan?,"The maximum policy limit per member is £1,500,000, $2,400,000, or €1,900,000, depending on the currency selected by the member .","The overall annual limit varies based on the plan chosen: Plan 1 - up to RM9,000,000, Plan 2 - up to RM7,000,000, Plan 3 - up to RM3,000,000, and Plan 4 - up to RM3,000,000 ​1​.",1,3.4,
Can I receive emergency medical treatment in the USA if I don't have USA cover included in my policy?,"Yes, you are covered for emergency treatment in the USA up to a limit of £15,000, $24,000, or €19,125 for a period of up to six weeks, provided that you do not have USA cover added to your policy .","You can receive emergency in-patient or day-patient treatment in the USA for up to six weeks with a total limit of £15,000, $24,000, or €19,125 even if you do not have the USA cover included in your policy ​1​.",1,2.8,
Are there any provisions for cancer treatment within the plan?,"Yes, the plan covers cancer treatment, including radiotherapy, chemotherapy, and surgery necessary to relieve pain or symptoms. However, end-of-life care is not covered under the plan .","The plan covers investigations into cancer and treatment to kill cancer cells. It also covers active treatment of cancer for any new cancer that starts after you join, and if the cancer comes back while you are still a member. However, if there are exclusions related to cancer due to past medical history, the treatment may not be covered if the cancer returns ​1​.",1,2.7,
What is the overall annual limit for Plan 1 under the International Exclusive policy?,"The overall annual limit for Plan 1 is up to RM9,000,000 .","The overall annual limit for Plan 1 under the International Exclusive policy is up to RM9,000,000​.",1,4.3,
"Is psychiatric treatment covered under the International Exclusive plans, and if so, what are the limits?","Yes, psychiatric treatment is covered with a limit up to RM24,000 under the first two plans, but there is no coverage under Plan 4 .","Psychiatric treatment is covered under the International Exclusive plans. The limits for psychiatric treatment are up to RM24,000 ​",1,3.2,
What benefits are provided for pregnancy and delivery under the International Exclusive plans?,"Pregnancy and delivery are covered up to RM43,000 under Plan 1, but only after 12 months of consecutive membership. No benefits are provided under the other plans for pregnancy and delivery .","Pregnancy and delivery benefits are available after 12 months of consecutive membership under Plan 1, with coverage up to RM43,000 ​1​. Other plans do not offer specific pregnancy and delivery benefits ​1​.

",1,4.8,
What are the main benefits included in the International Private Medical Insurance?,"The International Private Medical Insurance offers various benefits including in-patient and day-patient treatments, surgical outpatient treatments, cancer treatment, access to healthcare experts, and emergency evacuation and repatriation. Customers can also choose from additional options like specialist consultations, outpatient therapies, mental health treatments, and covers for pregnancy, dental, optical, and travel insurance .","The main benefits included in the International Private Medical Insurance are in-patient and day patient treatment, surgical out-patient treatment, cancer treatment, access to healthcare experts, and emergency evacuation and repatriation ​1​.",1,3.2,
Who is eligible to purchase the International Private Medical Insurance?,"The insurance is designed for individuals aged 18 to 80, including expatriates who live outside their home country and high-net-worth individuals who may need access to medical treatment worldwide. It is suitable for those who have the financial resources to invest in international private healthcare and are interested in flexible medical treatment options either locally, internationally, or in their home country .","The International Private Medical Insurance is designed for individuals aged 18 to 80 who are considered expatriates, High Net Worth (HNW) globally mobile, or High Net Worth (HNW) locals. These individuals should have the financial resources to pay for international private healthcare ​1​.",1,3.4,
"If I drink alchohol while pregnant am I still covered under plan 2?","No, there is no coverage for alcohol consumption during pregnancy under Plan 2. However, medical conditions related to pregnancy and childbirth are covered up to the limits that apply in the rest of the policy.","You are not covered for treatment needed as a result of, or in any way connected to, alcohol abuse, according to the information provided in the comprehensive global health plan handbook ​1​.",1,3.1,
"Can I purchase this insurance without receiving advice, and how can I buy it?","Yes, you can purchase International Private Medical Insurance without receiving advice, in compliance with FCA regulations. It is available for purchase directly from AXA – Global Healthcare or through a private health insurance specialist intermediary. You can buy the insurance via telephone, face-to-face, or through an appropriately designed online journey .","This insurance product can be sold with or without advice, depending on your preference and in line with FCA regulations. It can be sold face to face or via telephone ​1​.",1,2.5,
